NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Study Type,Study Documents
NCT01411514,Oral Prednisone Taper Versus Placebo for the Treatment of Acute Relapses in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT01411514,TERMINATED,"The management of MS-patients requires treatment with immune-modifying or immune-suppressive agents to prevent new relapses and progression of disability. Several studies have evaluated the effect of steroid treatment on clinical recovery after an acute relapse. An important unanswered clinical question is, whether or not an oral tapering dose of corticosteroids offers any additional advantage over intravenous methylprednisolone alone in improving neurologic recovery as well as safety and tolerability after a relapse.

This study aims to compare the efficacy, tolerability and safety of tapering doses of oral prednisone and placebo after short-term high-dose i.v. methylprednisolone on the recovery from an acute relapse in patients with clinically isolated syndrome (CIS), relapsing-remitting multiple sclerosis (RR-MS) and primary (PP-MS) or secondary progressive multiple sclerosis (SP-MS) with superimposed relapses.

Patients will be treated during 25 days with de-escaling doses of prednisone or placebo.

The primary analysis will test whether placebo is equivalent to oral prednisone taper on the recovery status as measured by EDSS change from baseline to 3 months after baseline.",NO,Multiple Sclerosis,DRUG: Prednisone|DRUG: Placebo,"Expanded Disability Status Scale (EDSS), The scores of the Expanded Disability Status Scale (EDSS) will be assessed at baseline, defined as start of oral treatment with prednisone or placebo (Day 1), and 3 months after baseline., baseline, 3 months",Claudio Gobbi,"Ente Ospedaliero Cantonale, Ticino, Switzerland",INTERVENTIONAL,
NCT07426991,"Cognitive Performance, Sleep Disturbances and Fatigue in Multiple Sclerosis",https://clinicaltrials.gov/study/NCT07426991,RECRUITING,"Fatigue is a prevalent symptom in patients with multiple sclerosis (MS) and is associated with considerable impairment in quality of life as well as loss of occupational capacity. Sleep disturbances are regarded as a critical factor in the development of fatigue and are frequently observed in individuals with MS. However, they often remain underrecognized, undiagnosed, and consequently untreated.

Polysomnography, the gold standard for assessing sleep architecture and quality, has rarely been applied in the investigation of sleep disorders in MS. Accordingly, uncertainties remain regarding the prevalence and extent to which sleep disturbances contribute to fatigue in this population. Moreover, emerging evidence suggests an association between sleep disorders and cognitive dysfunction in MS. Yet, it is unclear whether cognitive impairment arises from the sleep disorder itself, from the resulting fatigue, or from other independent factors.

Pharmacological treatments for MS-related fatigue remain limited, given heterogeneous and frequently non-replicable effects. Non-pharmacological interventions such as physical activity, cognitive behavioral therapy, and psychoeducation have shown promise but yield variable outcomes. The development of novel and effective therapeutic strategies requires a more comprehensive understanding of the etiology of fatigue. To date, the role of sleep disturbances and their relationship to cognitive performance in MS have not been adequately investigated.

The objective of this project is to determine the prevalence and characteristics of sleep disorders in MS patients with fatigue using polysomnography and to examine their relationship with cognitive impairment. In addition, the study will compare sleep quality parameters and the prevalence of sleep disorders across different MS subtypes (relapsing-remitting, primary progressive, and secondary progressive). Furthermore, within a sub-study, it will be investigated whether the type of immunotherapy has an influence on the aforementioned aspects.

Finally, the project seeks to integrate artificial intelligence (AI) into polysomnography analysis to streamline data evaluation and facilitate the future assessment of therapeutic interventions.

The study will be conducted as a non-invasive, non-interventional, longitudinal observational trial including MS patients with fatigue and a control group of patients with subjective sleep complaints but without MS. Recruitment will take place over 36 months at two centers: the Department of Neurology at the University Hospital Düsseldorf and the Maria Hilf Clinics in Mönchengladbach. Additional recruitment will be supported by community-based neurologists in the Mönchengladbach region to broaden the study cohort and ensure representativeness of the study population.

Approximately 382 MS patients are expected to be enrolled. The number of control participants will be determined by the proportion of MS patients presenting with sleep disorders and will be recruited consecutively from the neurological sleep laboratory of the Maria Hilf Clinics. For AI training, retrospective polysomnography data from the past five years (N ≥ 10,000 patients) at the Maria Hilf Clinics will be utilized.

The study protocol includes overnight polysomnography to assess sleep quality, along with comprehensive clinical evaluation, neuropsychological testing, and validated questionnaires addressing fatigue, subjective sleep quality, daytime sleepiness, depression, and anxiety.

Based on manually scored polysomnography, AI models will be trained to identify key parameters of sleep quality. The findings of this study will advance the understanding of the role of sleep disturbances in MS-related fatigue and will facilitate the integration of AI into sleep research, thereby streamlining the evaluation of future therapeutic approaches.",NO,"Multiple Sclerosis|Remitting-Relapsing Multiple Sclerosis|Primary Progressive Multiple Sclerosis|Secondary Progress Multiple Sclerosis|Fatigue Syndrome, Chronic|Sleep Disorders",OTHER: No Intervention: Observational Cohort,"Severity of Fatigue (subjective fatigue), Fatigue Scale for Motor and Cognitive Functions (FSMC)

* Higher score = Higher fatigue
* Min. score: 11
* Max. score: 100, Baseline and Follow-up (12-18 Months after Baseline)|Severity of Fatigue (cognitive fatigability), Alertness subtest of the Test Battery of Attention (TAP)

* Measurement of reaction time
* Normalized for age and education
* Administered pre- and posttest, Baseline and Follow-up (12-18 Months after Baseline)|Severity of Fatigue (physical fatigability), Hand-grip-strength dynamometer

\- Measurement of grip strength, Baseline and Follow-up (12-18 Months after Baseline)|Sleep disorders according to AASM criteria, Diagnostics by medical personnel after 2 nights of polysomnographic measurements., Baseline and Follow-up (12-18 Months after Baseline)|Verbal Learning and Memory Test (VLMT), Assesses verbal learning, immediate and delayed recall, and recognition of word lists, commonly used to evaluate verbal memory performance., Baseline and Follow-up (12-18 Months after Baseline)|Symbol Digit Modalities Test (SDMT), Evaluates information processing speed, attention, and visual scanning by requiring rapid symbol-number substitutions., Baseline and Follow-up (12-18 Months after Baseline)|Brief Visuospatial Memory Test - Revised (BVMT-R), Measures visuospatial learning and memory through repeated recall of geometric figures, including delayed recall and recognition., Baseline and Follow-up (12-18 Months after Baseline)","Heinrich-Heine University, Duesseldorf","Maria Hilf Clinics GmbH, Mönchengladbach|Roche Pharma AG|German Multiple Sclerosis Society",OBSERVATIONAL,
NCT06737419,"Real World Effectiveness, Persistence, Tolerability, and Safety of Ofatumumab in Clinical Practice",https://clinicaltrials.gov/study/NCT06737419,COMPLETED,"This was a retrospective cohort study using the electronic medical record (EMR) database from Cleveland Clinic. The data was analyzed at start of ofatumumab (OMB) therapy (baseline, defined as 6 months prior to OMB initiation) and at 6 or 12 months following initiation of OMB.",NO,Multiple Sclerosis,,"Number of Patients Categorized by Number of Relapses, Baseline, Month 6, Month 12|Change in Relapse Rate From Baseline to Month 6 and Month 12 After Initiating OMB Treatment, From Baseline up to Month 6 and Month 12",Novartis Pharmaceuticals,,OBSERVATIONAL,
NCT03993171,31P-MRS Imaging to Assess the Effects of CNM-Au8 on Impaired Neuronal Redox State in Multiple Sclerosis.,https://clinicaltrials.gov/study/NCT03993171,COMPLETED,"REPAIR-MS is a single-center open label, sequential group, investigator and patient blinded study to assess the CNS metabolic effects, safety, pharmacokinetics, and pharmacodynamics of CNM-Au8 in patients who have been diagnosed with Multiple Sclerosis (MS) within fifteen (15) years of Screening. The primary endpoint for this study changes from baseline to week 12 in CNS metabolic changes, based on 31P-MRSimaging.",NO,Multiple Sclerosis,DRUG: gold nanocrystals,"The change from baseline to week 12 in CNS metabolic changes, based on 31P-MRS Redox Ratio., Mean change in average NAD+/NADH measured brain Redox Ratio by treatment cohort from Baseline to Week 12., At 12 Weeks",Clene Nanomedicine,University of Texas Southwestern Medical Center,INTERVENTIONAL,
NCT01080014,Correlation Between Multiple Sclerosis Functional Composite (MSFC) and Expanded Disability Status Scale (EDSS) in Patients With Multiple Sclerosis (MS) in Argentina,https://clinicaltrials.gov/study/NCT01080014,COMPLETED,This observational study is being conducted to evaluate the usefulness of the MSFC and its relationship with EDSS scores in subjects with MS in Argentina.,NO,Multiple Sclerosis,,"- Evaluation of correlations between changes over time, \- Evaluation of correlations between changes over time for MSFC composite score and arm, leg and cognitive MSFC scores versus EDSS score changes over the same periods, Baseline and two years","Merck KGaA, Darmstadt, Germany",,OBSERVATIONAL,
NCT03983681,Evaluation of a Theory-Driven Manualized Approach to Improving New Learning and Memory in MS,https://clinicaltrials.gov/study/NCT03983681,ACTIVE_NOT_RECRUITING,The purpose of this research study is to investigate the effectiveness of a memory enhancement technique in persons with Multiple Sclerosis.,NO,Multiple Sclerosis,BEHAVIORAL: Strategy-Based Training to Enhance Memory (STEM)|BEHAVIORAL: Placebo control exercises,"Changes in scores on self-report measure of everyday cognition (subjective), Perceived Deficits Questionnaire, Baseline (week 1), immediately post-intervention (week 6) and long-term follow-up (week 6 months post-intervention)|Changes in scores on self-report measure of everyday cognition (objective), Ecologic Memory Simulations, Baseline (week 1), immediately post-intervention (week 6) and long-term follow-up (week 6 months post-intervention)",Kessler Foundation,,INTERVENTIONAL,
NCT02220244,Effect of MD1003 in Chronic Visual Loss Related to Optic Neuritis in Multiple Sclerosis,https://clinicaltrials.gov/study/NCT02220244,UNKNOWN,The purpose of this study is to demonstrate the superiority of MD1003 over placebo in the visual improvement of patients suffering from chronic visual loss resulting from multiple sclerosis related optic neuritis.,NO,Multiple Sclerosis,DRUG: MD1003 100mg capsule,"Change from baseline of the best corrected visual acuity at 100% contrast, Best corrected visual acuity using the ETDRS logMar chart at 100% contrast, Baseline, 6 months",MedDay Pharmaceuticals SA,,INTERVENTIONAL,
NCT01804647,Longitudinal Therapeutically Non-interventional Study of MSRV-Env Burden in Patients With Multiple Sclerosis Disease,https://clinicaltrials.gov/study/NCT01804647,COMPLETED,"This study intends to explore evolution of MSRV expression by analyzing the levels of MSRV transcripts in blood, as well as the levels of the MSRV-Env protein in serum of MS patients. The study will be conducted over one year in four cohorts of patients with different forms of MS (remitting-relapsing MS i.e. RRMS, primary-progressive MS i.e. PPMS and secondary-progressive MS i.e. SPMS) and in clinically isolated syndrome (CIS) patients who have suffered a single clinical event but do not comply with diagnosis criteria for definite MS. The MSRV RNA and MSRV-Env protein levels will be correlated with the clinical evolution of patients and with the reverse transcriptase activity, inflammatory markers assessed by cytokines levels. A control group of healthy subjects will be included (the study, GN-E-003, is performed in parallel and is part of another dedicated protocol).",NO,Multiple Sclerosis (MS)|Relapsing-Remitting MS|Primary Progressive MS|Secondary Progressive MS|Clinically Isolated Syndrome (CIS),OTHER: No study treatments administered - blood draws only,"Monitor the levels of MSRV-Env expression in MS patients (according to McDonald criteria) of different diagnostic subgroups (RRMS, SPMS, PPMS, CIS), Monitor the levels of MSRV-Env expression in MS patients (according to McDonald criteria) of different diagnostic subgroups (RRMS, SPMS, PPMS, CIS) over time using 3 approaches:

* MSRV transcripts in PBMC;
* MSRV transcripts in plasma;
* MSRV-Env protein in serum., 1 year",GeNeuro Innovation SAS,,OBSERVATIONAL,
NCT06677710,IDP-023 g-NK Cells Plus Ocrelizumab in Patients With Progressive Multiple Sclerosis,https://clinicaltrials.gov/study/NCT06677710,SUSPENDED,"This is an open label, Phase 1b, multiple ascending dose, and dose-expansion study of IDP-023 administered in combination with interleukin-2 (IL-2) and ocrelizumab to evaluate the safety, tolerability, and biologic activity on autoreactive immune cells in patients with refractory progressive multiple sclerosis.",NO,"Multiple Sclerosis|Primary Progressive Multiple Sclerosis (PPMS)|Secondary Progressive Multiple Sclerosis (SPMS)|Non-Active Secondary Progressive Multiple Sclerosis|Non-Active SPMS|Autoimmune Diseases of the Nervous System|Nervous System Diseases|Autoimmune Diseases|Demyelinating Diseases|Immune System Diseases|Demyelinating Autoimmune Diseases, Central Nervous System (CNS)",DRUG: IDP-023|DRUG: Ocrelizumab|DRUG: Interleukin-2|DRUG: Cyclophosphamide|DRUG: Fludarabine|DRUG: Mesna,"Incidence of AEs and SAEs - (Part 1), Escalation Period, 1 year|Incidence of dose-limiting toxicities (DLTs) of IDP-023 in combination with IL-2 and Ocrelizumab (Part 1), Escalation Period, up to 21 days|Change in cellular response of autoreactive immune cells to antigen (Part 2), Expansion Period, 2 years","Indapta Therapeutics, INC.",,INTERVENTIONAL,
NCT03540485,Safety and Efficacy of Melatonin in Patients With Multiple Progressive Primary Sclerosis,https://clinicaltrials.gov/study/NCT03540485,TERMINATED,"Phase I / II randomized, double-blind, placebo-controlled clinical trial to evaluate the safety and efficacy of melatonin administration combined with ocrelizumab in patients with Progressive Multiple Primary Sclerosis.",NO,"Sclerosis, Multiple|Autoimmune Diseases of the Nervous System|Nervous System Diseases|Autoimmune Diseases",DRUG: Melatonin|OTHER: Placebo,"Rates of neurological impairment, Individualized rates of disease progression will be quantified using the rates of neurological impairment (Kurtzke Expanded Disability Status Scale). The scale provides a total score on a scale that ranges from 0 to 10. The first levels 1.0 to 4.5 refer to people with a high degree of ambulatory ability and the subsequent levels 5.0 to 9.5 refer to the loss of ambulatory ability., 2 years|Rates of disability, Individualized rates of disease progression will be also quantified using the rates of disability (Multiple Sclerosis Functional Composite - MSFC scale).The MSFC measures are administered in person by a trained examiner. The MSFC can produce scores for each of the three individual measures (measure leg function/ambulation, arm/hand function, and cognitive function) as well as a composite score. Total administration time for all three measures should be approximately 20-30 minutes. Scores on component measures are converted to standard scores (z-scores), which are averaged to form a single MSFC score., 2 years",Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,,INTERVENTIONAL,
NCT03562975,Upper Extremity Function in Multiple Sclerosis Patients With Advanced Disability Treated With Ocrevus,https://clinicaltrials.gov/study/NCT03562975,COMPLETED,"The investigators are measuring the effectiveness of Ocrevus™ in helping patients with hand or arm weakness, especially if posed by a more advanced MS patient than those included in the clinical trials.",YES,Multiple Sclerosis|Pathologic Processes|Demyelinating Diseases|Nervous System Diseases|Autoimmune Diseases|Immune System Diseases|Primary Progressive Multiple Sclerosis|Relapsing Remitting Multiple Sclerosis,DRUG: Ocrelizumab,"Stabilization of Scores Using the Test d'Evaluation de la Performance Des Membres Supérieurs Des Personnes Agées (TEMPA) -Translasted in English to Mean ""Performance Evaluation Test for the Elderly"", The TEMPA is designed to assess the capabilities and limitations of upper limb function and consists of 9 tasks that mimic tasks of daily living that include picking up a jar, taking a spoonful of coffee from a jar, pouring water from a pitcher, handling coins, writing on an envelope and opening a pill container, tying a scarf around one's neck, shuffle and deal playing cards, and picking up and moving small objects. Each task is assessed by a rater by measuring speed of execution (seconds) and by functional rating of the subject's independence in performing them using an ordinal scale of 0 (completed without difficulty) to -3 (could not complete the task)., 24 months",University of South Florida,"Genentech, Inc.",OBSERVATIONAL,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/75/NCT03562975/Prot_SAP_000.pdf"
NCT05466682,RELAXaHEAD for Headache Patients (Phase II),https://clinicaltrials.gov/study/NCT05466682,COMPLETED,"The goal of this research is to assess the utility of smartphone-based progressive muscle relaxation (PMR) for the treatment of migraine and sleep. While there are many commercially available electronic diary and mind-body intervention apps for headache, there is little data showing their efficacy. RELAXaHEAD app incorporates the electronic PMR that was successfully used in an earlier epilepsy study and beta tested with headache specialist and migraine patient input. It also is an electric headache diary. The app has been studied and findings have been reported in multiple peer reviewed publications. Also, the app has been updated based on prior feedback from the studies. Now, this 2-arm randomized controlled study will evaluate the feasibility and acceptability of RELAXaHEAD for use with patients with migraine and comorbid insomnia. . One arm will be the RELAX group (the RELAXaHEAD app) and the other arm will be a monitored usual care (MUC) group (this group receives standard of care and uses the electronic daily symptom reporting diary). The goals are to assess the feasibility and adherence of the RELAX intervention in persons with migraine and insomnia (Aim 1) and to gather exploratory data on the effects of the RELAX intervention on headache and sleep related outcome measures (Aim 2).",YES,Migraine|Headache|Multiple Sclerosis|Insomnia,BEHAVIORAL: Smartphone-Based Progressive Muscle Relaxation Therapy (PMR)|BEHAVIORAL: Monitored Usual Care (MUC),"Number of Patients Enrolled in the Study, Measure of feasibility., Baseline|Daily Diary Satisfaction Scores, 5-item self-assessment measuring satisfaction with the daily dairy function of the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-20; higher scores indicate higher levels of satisfaction., Baseline|Daily Diary Satisfaction Scores, 5-item self-assessment measuring satisfaction with the daily dairy function of the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-20; higher scores indicate higher levels of satisfaction., Week 1|Daily Diary Satisfaction Scores, 5-item self-assessment measuring satisfaction with the daily dairy function of the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-20; higher scores indicate higher levels of satisfaction., Month 1|Daily Diary Satisfaction Scores, 5-item self-assessment measuring satisfaction with the daily dairy function of the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-20; higher scores indicate higher levels of satisfaction., Month 2|Daily Diary Satisfaction Scores, 5-item self-assessment measuring satisfaction with the daily dairy function of the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-20; higher scores indicate higher levels of satisfaction., Month 3|Progressive Muscle Relaxation Therapy (PMR) Satisfaction Scores Among RELAX Arm Participants, 4-item self-assessment measuring satisfaction with PMR administered via the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-16; higher scores indicate higher levels of satisfaction, Baseline|Progressive Muscle Relaxation Therapy (PMR) Satisfaction Scores Among RELAX Arm Participants, 4-item self-assessment measuring satisfaction with PMR administered via the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-16; higher scores indicate higher levels of satisfaction, Week 1|Progressive Muscle Relaxation Therapy (PMR) Satisfaction Scores Among RELAX Arm Participants, 4-item self-assessment measuring satisfaction with PMR administered via the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-16; higher scores indicate higher levels of satisfaction, Month 1|Progressive Muscle Relaxation Therapy (PMR) Satisfaction Scores Among RELAX Arm Participants, 4-item self-assessment measuring satisfaction with PMR administered via the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-16; higher scores indicate higher levels of satisfaction, Month 2|Progressive Muscle Relaxation Therapy (PMR) Satisfaction Scores Among RELAX Arm Participants, 4-item self-assessment measuring satisfaction with PMR administered via the RELAXaHEAD app. Items are ranked on a 5-point Likert scale, where: 0 = Strongly Disagree; 1 = Disagree; 2 = Neither Agree nor Disagree; 3 = Agree; and 4 = Strongly Agree.

The total score is the sum of responses. Scores range from 0-16; higher scores indicate higher levels of satisfaction, Month 3|Number of Days RELAX Arm Participants Performed Progressive Muscle Relaxation Therapy (PMR) at Least 5 Minutes/Day, Calculated using the backend analytics in the RELAXaHEAD app. Measure of feasibility., Up to Month 3|Number of Days Participants Used Diary, Calculated using the backend analytics in the RELAXaHEAD app. Measure of feasibility., Up to Month 3",NYU Langone Health,"Center for Advancing Point of Care Technologies|National Heart, Lung, and Blood Institute (NHLBI)",INTERVENTIONAL,"Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/82/NCT05466682/Prot_SAP_000.pdf"
NCT05204459,MS-ResearchBiomarkerS,https://clinicaltrials.gov/study/NCT05204459,RECRUITING,"This study is being conducted to investigate risk factors for disability progression in Multiple Sclerosis and related disorders (MSRD). The primary goal is to assess whether combining information from visual assessment, blood markers, as well as historical and ongoing longitudinal MRIs of the brain, orbit (the part of the skull where eyes are located), and/or spinal cord can predict changes in quantitative disability measures related to MSRD and neurological disease.",NO,"Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting|Multiple Sclerosis, Primary Progressive|Multiple Sclerosis, Secondary Progressive|Clinically Isolated Syndrome|Radiologically Isolated Syndrome|Neuromyelitis Optica Spectrum Disorders|Myelin Oligodendrocyte Glycoprotein Antibody-associated Disease|Neurologic Autoimmune Disease|Neurologic Disorder|Healthy Aging",,"Identifying risk factors for disability progression, To investigate whether combining information from peripheral blood biomarkers, retinal structural, visual function, as well as historical and ongoing longitudinal MRIs (brain, cervical, and/or thoracic spinal cord) can predict quantitative disability progression risk, 10 years",Cedars-Sinai Medical Center,,OBSERVATIONAL,
NCT06320444,"Non-invasive Spinal, Cortical, and Sensorimotor Biomarkers in Motor Neurone Disease",https://clinicaltrials.gov/study/NCT06320444,UNKNOWN,"Substantial variability exists in the onset, and rate of degeneration across individuals with Motor Neurone Disease (MND) or Amyotrophic Lateral Sclerosis (ALS). This variability requires biomarkers that accurately classify and reliably track clinical subtypes as the disease progresses. Degeneration occurs in the brain and spinal cord, however, non-invasive diagnosis of spinal cord function remains highly challenging due to its unique alignment in spine. Disruption of complex spinal and cortical circuits that transmit and process neural signals for position sense and movement has not been adequately captured in the neurophysiological profiling of ALS patients. The overarching aim of this study is to reveal and quantify the extent of change in the sensorimotor integration and its potential contribution to network disruption in ALS.",NO,"Motor Neuron Disease, Amyotrophic Lateral Sclerosis|Motor Neuron Disease Progressive Spinal Muscle Atrophy|Primary Lateral Sclerosis|Multiple Sclerosis|Postpoliomyelitis Syndrome",PROCEDURE: 232 Electrode Electrophysiology (EEG-ECG-EMG-EXG),"Biomarker of sensorimotor integration, A viable biomarker of sensorimotor integration for reliable and early distinction between healthy people and Motor Neuron Disease patient sub-phenotypes.

This will be achieved by comparing connectivity measures between EEG, Non-cortical CNS, and EMG electrophysiological signals. The integration will also be seen in spectral analysis measures., Baseline to 2-years after baseline|Determination of the feasibility of sensorimotor signatures as reliable biomarkers of ALS, The sensorimotor integration and signature biomarkers achieved during outcome 1 will be correlated with the clinical scores and will be statistically tested for reliability and robustness. The effect sizes of these statistical and correlation matrices will be used to evaluate the feasibility of the signatures as reliable biomarkers for motor neuron conditions like ALS., Baseline|Non-invasive recording of the SC functional neuro-electric activity, Understanding the role of spinal cord (SC) in neuromuscular physiology (in both impaired and healthy individuals) and will also assist in discovering biomarkers in Brain-SC Peripheral connections. This is a perspective outcome that will be future based upon the inferences gained by the first two outcomes., Baseline","University of Dublin, Trinity College","Motor Neurone Disease Association, UK|Irish Research Council, IE|Health Research Board, IE|Research Motor Neurone, IE|Thierry Latran Foundation, FR|ALS Association, USA",OBSERVATIONAL,
NCT03174938,The Swedish BioFINDER 2 Study,https://clinicaltrials.gov/study/NCT03174938,RECRUITING,"The Swedish BioFINDER 2 study is a new study that will launch in 2017 and extends the previous cohorts of BioFINDER 1 study (www.biofinder.se). BioFINDER 1 is used e.g. to characterize the role of beta-amyloid pathology in early diagnosis of Alzheimer's disease (AD) using amyloid-PET (18F-Flutemetamol) and Aβ analysis in cerebrospinal fluid samples. The BioFINDER 1 study has resulted in more than 40 publications during the last three years, many in high impact journals, and some the of the results have already had important implications for the diagnostic work-up patients with AD in the clinical routine practice.

The original BioFINDER 1 cohort started to include participants in 2008. Since then there has been a rapid development of biochemical and neuroimaging technologies which enable novel ways to the study biological processes involved in Alzheimer's disease in living people. There has also been a growing interest in the earliest stages of AD and other neurodegenerative diseases. With the advent of new tau-PET tracers there is now an opportunity to elucidate the role of tau pathology in the pathogenesis of AD and other tauopathies. The Swedish BioFINDER 2 study has been designed to complement the BioFINDER 1 study and to e.g. address issues regarding the role of tau pathology in different dementias and in preclinical stages of different dementia diseases. Further, the clinical assessments and MRI methods have been further optimized compared to BioFINDER 1. Detailed assessments of motor aspects and dual task performance, which is part of a sub-study named Motor-ACT: ""Motor aspects and activities in relation to cognitive decline and brain pathologies, has been added to further optimize assessment of motor function.",NO,Dementia|Alzheimer Disease|Parkinson Disease|Lewy Body Disease|Parkinson-Dementia Syndrome|Frontotemporal Degeneration|Semantic Dementia|Progressive Nonfluent Aphasia|Progressive Supranuclear Palsy|Corticobasal Degeneration|Multiple System Atrophy|Mild Cognitive Impairment|ALS (Amyotrophic Lateral Sclerosis),"DIAGNOSTIC_TEST: Flutemetamol F18 Injection|DIAGNOSTIC_TEST: [18F]-RO6958948|DIAGNOSTIC_TEST: Elecsys (Roche) Abeta42, Ttau and Ptau|DIAGNOSTIC_TEST: Lumipulse (Fujirebio) Abeta42, Ttau and Ptau","Clinical diagnosis, Clinical diagnosis according to consensus group decision blinded to the diagnostic test, Clinical diagnosis at last 1 day visit|Clinical Dementia Rating-Sum of Boxes (CDR-SB), Change in CDR-SB, Time zero equals the baseline visit. All subjects will subsequently attend follow-up visits every year for approximately 2-8 years after baseline.",Skane University Hospital,Lund University,INTERVENTIONAL,
NCT06209515,Sociodemographic Factors and Criminal Behaviour Preceding Neurodegenerative Disease - Retrospective Register Study,https://clinicaltrials.gov/study/NCT06209515,ACTIVE_NOT_RECRUITING,"In this retrospective register study, clinically classified individuals with neurodegenerative disease from the years 2010-2021 will be verified from the clinical records from KUH and Oulu University Hospital (OUH). Based on the Finnish social security number, these individuals will be linked to the the national registers of Statistics Finland and Finnish Social and Health Data Permit Authority Findata including incomes, sociodemographic factors, education, occupation, criminal records as well as to the national registers including the bought pharmaceuticals, comorbidities and causes of death. For each study case, 10 randomly selected control cases, matched with age, sex and geographical area, will be used.

The aim of the study is to examine:

* 1\) The prevalence of criminal and other disruptive behaviour in groups of different neurodegenerative diseases prior to and after the diagnosis
* 2\) Changes in employment, residency,income, and marital status prior to and after the neurodegenerative disease diagnosis
* 3\) Hospital diagnoses and reimbursable drugs prior to and after the diagnosis
* 4\) Causes of death in patients with neurodegenerative disease to study excess mortality of the patients",NO,Neurodegenerative Diseases|Alzheimer Disease|Frontotemporal Dementia|Lewy Body Disease|Vascular Dementia|Parkinson Disease|Progressive Supranuclear Palsy|Corticobasal Degeneration|Multiple System Atrophy|Amyotrophic Lateral Sclerosis|Huntington Disease,,"Criminal behaviour: Type of offence, time of offence and other disruptive behaviour, Statistics Finland, Statistics on offences and coercive measures. Criminal behaviour is investigated utilising the reports of offences received by the police. The classification of offences is based on the three- or six-numbered offence classification by Statistics Finland, which enables the examination of different offences including e.g., violence, property, and traffic offences. The data extracted from the register include the type of the offence and time. Also, other disruptive behaviour based on the captures performed by the police (e.g., captures of intoxicated persons) is extracted., 1996-2020|Socio-demographic data, Employment, residency, Income, Marital status. Socio-demographic outcome data is extracted from Statistics Finland, FOLK Basic data module. Possible changes in employment and residency are examined, and mortality and emigration will be considered as censoring factors, 1987-2021|Hospital diagnoses, Hospital diagnoses from the National Discharge Register. The National Discharge Register contains information of all hospitalizations after 1969, including ICD-8, ICD-9, and ICD-10 classifications to detect comorbidities of the patients. Two registers, ""Terveydenhuollon hoitoilmoitusrekisteri (Hilmo)"" and ""Perusterveydenhuollon avohoidon hoitoilmoitus (Avohilmo)"" of the Finnish Institute for Health and Welfare are used., 1994-2021|Medication use, Reimbursable drugs from the Social Insurance Institution of Finland (SII). Finnish residents are covered under the National Health Insurance (NHI) scheme run by the SII. SII maintains a nationwide registry of all patients, with dispensed reimbursable drugs 1995-, including opioids and neuropathic pain medications. Data of medication use, cost, and reimbursement data are gathered from the SII database., 1995-2021|Causes of death, Causes of death from Statistics Finland. Statistics Finland maintains a registry of causes of death and death certificates, which are supplemented with data from the population information system of the Population Register Centre. Registry data are used to study excess mortality of the patients., 2010-2021",Kuopio University Hospital,,OBSERVATIONAL,
